Plant,Valuation Class,Material,Material Description,Obj Type,Category,All Items,Proc Cat Name,Quantity,Price
2110,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,AB,Beginning Inventory,,0,0
2110,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,ZU,Receipts,,0,0
2110,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,KB,Cumulative Inventory,,0,0
2110,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,VN,Consumption,,0,0
2110,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,EB,Ending Inventory,,0,0
2111,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,AB,Beginning Inventory,,0,0
2111,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,ZU,Receipts,,0,0
2111,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,KB,Cumulative Inventory,,0,0
2111,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,VN,Consumption,,0,0
2111,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,EB,Ending Inventory,,0,0
2112,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,AB,Beginning Inventory,,0,0
2112,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,ZU,Receipts,,0,0
2112,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,KB,Cumulative Inventory,,0,0
2112,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,VN,Consumption,,0,0
2112,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,EB,Ending Inventory,,0,0
2113,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,AB,Beginning Inventory,,0,0
2113,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,ZU,Receipts,,0,0
2113,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,KB,Cumulative Inventory,,0,0
2113,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,VN,Consumption,,0,0
2113,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,EB,Ending Inventory,,0,0
2114,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,AB,Beginning Inventory,,0,0
2114,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,ZU,Receipts,,0,0
2114,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,KB,Cumulative Inventory,,0,0
2114,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,VN,Consumption,,0,0
2114,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,EB,Ending Inventory,,0,0
2115,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,AB,Beginning Inventory,,0,0
2115,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,ZU,Receipts,,0,0
2115,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,KB,Cumulative Inventory,,0,0
2115,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,VN,Consumption,,0,0
2115,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,EB,Ending Inventory,,0,0
2116,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,AB,Beginning Inventory,,0,0
2116,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,ZU,Receipts,,0,0
2116,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,KB,Cumulative Inventory,,0,0
2116,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,VN,Consumption,,0,0
2116,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,EB,Ending Inventory,,0,0
2118,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,AB,Beginning Inventory,,0,0
2118,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,ZU,Receipts,,0,0
2118,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,KB,Cumulative Inventory,,0,0
2118,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,VN,Consumption,,0,0
2118,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,EB,Ending Inventory,,0,0
2119,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,AB,Beginning Inventory,,0,0
2119,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,ZU,Receipts,,0,0
2119,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,KB,Cumulative Inventory,,0,0
2119,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,VN,Consumption,,0,0
2119,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,EB,Ending Inventory,,0,0
2120,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,AB,Beginning Inventory,,0,0
2120,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,ZU,Receipts,,0,0
2120,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,KB,Cumulative Inventory,,0,0
2120,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,VN,Consumption,,0,0
2120,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,EB,Ending Inventory,,0,0
2140,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,AB,Beginning Inventory,,0,0
2140,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,ZU,Receipts,,0,0
2140,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,KB,Cumulative Inventory,,0,0
2140,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,VN,Consumption,,0,0
2140,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,EB,Ending Inventory,,0,0
2141,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,AB,Beginning Inventory,,0,0
2141,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,ZU,Receipts,,0,0
2141,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,KB,Cumulative Inventory,,0,0
2141,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,VN,Consumption,,0,0
2141,9009,80300000006,Sanstha Cement - Puttalam 50kg,CA,EB,Ending Inventory,,0,0
